sku,name,full_name,category,unit,gost,typical_price_rub,attributes
MRO-EXTRA-080,Расходник MRO позиция 80,Расходный материал для технического обслуживания позиция 80,mro,шт,,1560,"{""synthetic"": true}"
MRO-EXTRA-081,Расходник MRO позиция 81,Расходный материал для технического обслуживания позиция 81,mro,шт,,1577,"{""synthetic"": true}"
MRO-EXTRA-082,Расходник MRO позиция 82,Расходный материал для технического обслуживания позиция 82,mro,шт,,1594,"{""synthetic"": true}"
MRO-EXTRA-083,Расходник MRO позиция 83,Расходный материал для технического обслуживания позиция 83,mro,шт,,1611,"{""synthetic"": true}"
MRO-EXTRA-084,Расходник MRO позиция 84,Расходный материал для технического обслуживания позиция 84,mro,шт,,1628,"{""synthetic"": true}"
MRO-EXTRA-085,Расходник MRO позиция 85,Расходный материал для технического обслуживания позиция 85,mro,шт,,1645,"{""synthetic"": true}"
MRO-EXTRA-086,Расходник MRO позиция 86,Расходный материал для технического обслуживания позиция 86,mro,шт,,1662,"{""synthetic"": true}"
MRO-EXTRA-087,Расходник MRO позиция 87,Расходный материал для технического обслуживания позиция 87,mro,шт,,1679,"{""synthetic"": true}"
MRO-EXTRA-088,Расходник MRO позиция 88,Расходный материал для технического обслуживания позиция 88,mro,шт,,1696,"{""synthetic"": true}"
MRO-EXTRA-089,Расходник MRO позиция 89,Расходный материал для технического обслуживания позиция 89,mro,шт,,1713,"{""synthetic"": true}"
MRO-EXTRA-090,Расходник MRO позиция 90,Расходный материал для технического обслуживания позиция 90,mro,шт,,1730,"{""synthetic"": true}"
MRO-EXTRA-091,Расходник MRO позиция 91,Расходный материал для технического обслуживания позиция 91,mro,шт,,1747,"{""synthetic"": true}"
MRO-EXTRA-092,Расходник MRO позиция 92,Расходный материал для технического обслуживания позиция 92,mro,шт,,1764,"{""synthetic"": true}"
MRO-EXTRA-093,Расходник MRO позиция 93,Расходный материал для технического обслуживания позиция 93,mro,шт,,1781,"{""synthetic"": true}"
MRO-EXTRA-094,Расходник MRO позиция 94,Расходный материал для технического обслуживания позиция 94,mro,шт,,1798,"{""synthetic"": true}"
MRO-EXTRA-095,Расходник MRO позиция 95,Расходный материал для технического обслуживания позиция 95,mro,шт,,1815,"{""synthetic"": true}"
MRO-EXTRA-096,Расходник MRO позиция 96,Расходный материал для технического обслуживания позиция 96,mro,шт,,1832,"{""synthetic"": true}"
MRO-EXTRA-097,Расходник MRO позиция 97,Расходный материал для технического обслуживания позиция 97,mro,шт,,1849,"{""synthetic"": true}"
MRO-EXTRA-098,Расходник MRO позиция 98,Расходный материал для технического обслуживания позиция 98,mro,шт,,1866,"{""synthetic"": true}"
MRO-EXTRA-099,Расходник MRO позиция 99,Расходный материал для технического обслуживания позиция 99,mro,шт,,1883,"{""synthetic"": true}"
MRO-EXTRA-100,Расходник MRO позиция 100,Расходный материал для технического обслуживания позиция 100,mro,шт,,1900,"{""synthetic"": true}"
MRO-EXTRA-101,Расходник MRO позиция 101,Расходный материал для технического обслуживания позиция 101,mro,шт,,1917,"{""synthetic"": true}"
MRO-EXTRA-102,Расходник MRO позиция 102,Расходный материал для технического обслуживания позиция 102,mro,шт,,1934,"{""synthetic"": true}"
MRO-EXTRA-103,Расходник MRO позиция 103,Расходный материал для технического обслуживания позиция 103,mro,шт,,1951,"{""synthetic"": true}"
MRO-EXTRA-104,Расходник MRO позиция 104,Расходный материал для технического обслуживания позиция 104,mro,шт,,1968,"{""synthetic"": true}"
MRO-EXTRA-105,Расходник MRO позиция 105,Расходный материал для технического обслуживания позиция 105,mro,шт,,1985,"{""synthetic"": true}"
MRO-EXTRA-106,Расходник MRO позиция 106,Расходный материал для технического обслуживания позиция 106,mro,шт,,2002,"{""synthetic"": true}"
MRO-EXTRA-107,Расходник MRO позиция 107,Расходный материал для технического обслуживания позиция 107,mro,шт,,2019,"{""synthetic"": true}"
MRO-EXTRA-108,Расходник MRO позиция 108,Расходный материал для технического обслуживания позиция 108,mro,шт,,2036,"{""synthetic"": true}"
MRO-EXTRA-109,Расходник MRO позиция 109,Расходный материал для технического обслуживания позиция 109,mro,шт,,2053,"{""synthetic"": true}"
MRO-EXTRA-110,Расходник MRO позиция 110,Расходный материал для технического обслуживания позиция 110,mro,шт,,2070,"{""synthetic"": true}"
MRO-EXTRA-111,Расходник MRO позиция 111,Расходный материал для технического обслуживания позиция 111,mro,шт,,2087,"{""synthetic"": true}"
MRO-EXTRA-112,Расходник MRO позиция 112,Расходный материал для технического обслуживания позиция 112,mro,шт,,2104,"{""synthetic"": true}"
MRO-EXTRA-113,Расходник MRO позиция 113,Расходный материал для технического обслуживания позиция 113,mro,шт,,2121,"{""synthetic"": true}"
MRO-EXTRA-114,Расходник MRO позиция 114,Расходный материал для технического обслуживания позиция 114,mro,шт,,2138,"{""synthetic"": true}"
MRO-EXTRA-115,Расходник MRO позиция 115,Расходный материал для технического обслуживания позиция 115,mro,шт,,2155,"{""synthetic"": true}"
MRO-EXTRA-116,Расходник MRO позиция 116,Расходный материал для технического обслуживания позиция 116,mro,шт,,2172,"{""synthetic"": true}"
MRO-EXTRA-117,Расходник MRO позиция 117,Расходный материал для технического обслуживания позиция 117,mro,шт,,2189,"{""synthetic"": true}"
MRO-EXTRA-118,Расходник MRO позиция 118,Расходный материал для технического обслуживания позиция 118,mro,шт,,2206,"{""synthetic"": true}"
MRO-EXTRA-119,Расходник MRO позиция 119,Расходный материал для технического обслуживания позиция 119,mro,шт,,2223,"{""synthetic"": true}"
